disc,distance,value,area
MAX_26thoct_11.oif,121.811,1873.976,172085.085
MAX_26thoct_11.oif,123.054,1888.705,172085.085
MAX_26thoct_11.oif,124.297,1904.769,172085.085
MAX_26thoct_11.oif,125.54,1910.868,172085.085
MAX_26thoct_11.oif,126.783,1935.248,172085.085
MAX_26thoct_11.oif,128.026,1934.127,172085.085
MAX_26thoct_11.oif,129.269,1961.404,172085.085
MAX_26thoct_11.oif,130.512,1946.483,172085.085
MAX_26thoct_11.oif,131.755,1943.538,172085.085
MAX_26thoct_11.oif,132.998,1938.05,172085.085
MAX_26thoct_11.oif,134.241,1968.152,172085.085
MAX_26thoct_11.oif,135.484,1979.188,172085.085
MAX_26thoct_11.oif,136.727,1975.309,172085.085
MAX_26thoct_11.oif,137.97,1972.506,172085.085
MAX_26thoct_11.oif,139.212,1994.321,172085.085
MAX_26thoct_11.oif,140.455,2014.419,172085.085
MAX_26thoct_11.oif,141.698,2032.12,172085.085
MAX_26thoct_11.oif,142.941,2017.004,172085.085
MAX_26thoct_11.oif,144.184,2018.833,172085.085
MAX_26thoct_11.oif,145.427,2014.716,172085.085
MAX_26thoct_11.oif,146.67,2029.003,172085.085
MAX_26thoct_11.oif,147.913,2042.147,172085.085
MAX_26thoct_11.oif,149.156,2065.019,172085.085
MAX_26thoct_11.oif,150.399,2107.706,172085.085
MAX_26thoct_11.oif,151.642,2121.824,172085.085
MAX_26thoct_11.oif,152.885,2120.201,172085.085
MAX_26thoct_11.oif,154.128,2090.243,172085.085
MAX_26thoct_11.oif,155.371,2058.083,172085.085
MAX_26thoct_11.oif,156.614,2046.557,172085.085
MAX_26thoct_11.oif,157.857,2051.437,172085.085
MAX_26thoct_11.oif,159.1,2032.945,172085.085
MAX_26thoct_11.oif,160.343,2017.106,172085.085
MAX_26thoct_11.oif,161.586,2019.473,172085.085
MAX_26thoct_11.oif,162.829,2025.829,172085.085
MAX_26thoct_11.oif,164.072,2039.081,172085.085
